PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39755992,Characterization of stem cell landscape and identification of stemness-relevant prognostic gene signature to aid immunotherapy in breast cancer.,"{'Year': '2025', 'Month': 'Jan', 'Day': '05'}",,,
39755916,Identification of fatty acid anabolism patterns to predict prognosis and immunotherapy response in gastric cancer.,"{'Year': '2025', 'Month': 'Jan', 'Day': '04'}",,,
39755866,Inflammatory markers predict efficacy of immunotherapy in advanced non-small cell lung cancer: a preliminary exploratory study.,"{'Year': '2025', 'Month': 'Jan', 'Day': '04'}",,,
39755635,The first case of esophageal mediastinal fistula after immunotherapy for non-small cell lung cancer: case report and literature review.,"{'Year': '2025', 'Month': 'Jan', 'Day': '04'}",,,
39755633,Current status and innovative developments of CAR-T-cell therapy for the treatment of breast cancer.,"{'Year': '2025', 'Month': 'Jan', 'Day': '04'}","Sara Caratelli, Giuseppe Sconocchia, Alice Gaiba, Carlo Cenciarelli","Institute of Translational Pharmacology-CNR, Rome, Italy., Institute of Translational Pharmacology-CNR, Rome, Italy., Institute of Translational Pharmacology-CNR, Rome, Italy., Institute of Translational Pharmacology-CNR, Rome, Italy.",
39755583,Depletion of myeloid-derived suppressor cells sensitizes murine multiple myeloma to PD-1 checkpoint inhibitors.,"{'Year': '2025', 'Month': 'Jan', 'Day': '04'}",,,
39755582,Effect of radiotherapy exposure on fruquintinib plus sintilimab treatment in refractory microsatellite stable metastatic colorectal cancer: a prospective observation study.,"{'Year': '2025', 'Month': 'Jan', 'Day': '04'}",,,
39755581,SIGLEC11 promotes M2 macrophage polarization through AKT-mTOR signaling and facilitates the progression of gastric cancer.,"{'Year': '2025', 'Month': 'Jan', 'Day': '04'}",,,
39755580,Targeting Siglec-E facilitates tumor vaccine-induced antitumor immunity in renal carcinoma.,"{'Year': '2025', 'Month': 'Jan', 'Day': '04'}",,,
39755578,Spatial and single-cell transcriptomics reveal cellular heterogeneity and a novel cancer-promoting Treg cell subset in human clear-cell renal cell carcinoma.,"{'Year': '2025', 'Month': 'Jan', 'Day': '04'}",,,
